#	Task	Context	TaskSentence	Summary	Labeler	NoRequestInContext	Urgent	NotRequest	Unsure/Discuss
19	Consequently, PLEASE RETAIN any and all documents, including all drafts, electronic documents, and email, that relate in any fashion to the 8K filing.	This email, directing the RETENTION OF DOCUMENTS, is being sent to employees who worked on issues relating to the 8K filed with the SEC on April 22, 2002.. In our discussions with the SEC relating to this filing, we have been requested to produce ALL DOCUMENTS that support the filing, relate to the filing, or were prepared in connection with the filing.	Consequently, PLEASE RETAIN any and all documents, including all drafts, electronic documents, and email, that relate in any fashion to the 8K filing.	Retain all documents about filing	Rowan	1			
20	Please, ask Shirley to resubmit.	Jason,. There was a problem with the request.. I could not approve it the system would not let me do it .. There must have been a mistake in the way it was submitted .	Please, ask Shirley to resubmit.	Ask Shirley to resubmit request	Rowan	1			
21	Ben/Fred/Rebecca, could you please	I suspect a consent by the equipment seller may also be required.. More to come on this one.. As I learn more about the process I will keep you advised.. Kay. I am attaching a revised draft notice of intent to exercise the purchase option for the equipment for the CA transactions.. We need two separate notices - one for CA I and one for CA II.	Ben/Fred/Rebecca, could you please prepare a draft of the two exhibits?	Prepare draft of exhibits	Rowan	1			
22	Deborah, please print out and file.	FYI.. Status report from Watson, Farley.	Deborah, please print out and file.	File report from Watson Farley	Rowan	1			
23	Please, register me for this.	Shirley,	Please, register me for this.	Register SENDER for this	Rowan				
24	Please review and email Michelle your comments to this	Mr. Mackin, Michelle Cash has asked me to forward the language below to you for your comments.	Please review and email Michelle your comments to this paragraph.	Review paragraph and send comments to Michelle	Rowan	1			
25	Please use 503-4642-663 to participate in all of the meetings listed	Rod, I was asked to include you by phone in all future Risk Management Committee meetings.. Following is a list of upcoming meetings for the remainder of the year.	Please use 503-4642-663 to participate in all of the meetings listed below.	Participate in meetings with 503-4642-663	Rowan	1			
26	Please have them executed and	Did you ever receive these documents?. If so, I need the originals..  Chris, Huber has executed the following documents today:. 1.. Trailblazer Assignment and Assumption Agreement signed add'l original. 2.. Amended and Restated Transaction Agreement #2. 3.. Enfolio Master Firm Purchase / Sale Agreement replacing a previously executed fax version.. I will overnight the documents to you.	Please have them executed and return one of each for my files.	Exectute documents	Rowan	1			
27	Give me a call because I really want this to happen.	Tim. I still don't see and origination line on the reports.	Give me a call because I really want this to happen.	Call SENDER	Rowan	1			
28	Please respond by 10 a.m. on Wednesday, November 8.	Tana/Karen:. The product long description below will fall under the new product type US Gas Phy Index Firm 3-day Flexible non-TX 1Mo 1Yr.. Credit Tom Moran has approved copying the profiles for the new product type from the following:. US Gas Phy Index Firm non-TX 1Mo 1Yr	Please respond by 10 a.m. on Wednesday, November 8.	Reply to SENDER	Rowan	1			
29	If anyone needs help facilitating this process please coordinate with Chris Lambie 9746-780 .	May 31st - Press release to the industry that Enron's information will be included in the NGX Index starting July 1st, 2001 Rob Milnthorp .. June 15th - Enron systems are in place to transfer data to NGX Andy Zipper & Jay Web .. June 30th - NGX is tested and ready to go.. July 1st - Enron's data is included!!!. !	If anyone needs help facilitating this process please coordinate with Chris Lambie 9746-780 .	Coordinate with Chris Lambie at 9746-780	Rowan	1			
30	CP, please followup on the 2 email failure messages and delete.		CP, please followup on the 2 email failure messages and delete.	Reply to SENDER about email failure messages	Rowan				
31	cleared before next month and we really need your help resolving these.	In October, there is a variance for NY6237.1 for 200,880.00 between the NG-Price and the Intra-Central books.. Per Phillip, there should be an offset for this and there shouldn't be a variance.. In September there are the following variances that we need help identifying: Oil-NG-H 150,239.97 Exotic-T 324,397.00. In August, there is a variance for EW4539.2 for 744,999.95 .. Per Phillip, this should be offset with leg 3 and there should not be a variance.	Jeff Gossett is adamant about getting the financial liquidation variances cleared before next month and we really need your help resolving these.	Help resolve variances.	Rowan	1			
32	So please respond now!	You still haven't registered and played and claimed your GUARANTEED CAS H PRIZE of up to 2,500.00*!. Please reply!. We need to hear from you!. This m ay be your last chance to claim your GUARANTEED CASH PRIZE and to win 10,0 00,000.00** and other fabulous prizes including a brand new car and a dream vacation!	So please respond now!	Respond to SENDER	Rowan				
33	Can you check on	This is a footnote from one of the cases you sent earlier.	Can you check on this for us, too.	Check on this.	Rowan	1			
34	check this out and see what they	here's todays-- Daily Blessing http://www.daily-blessings.com/bless146.htm. and yesterdays http://www.daily-blessings.com/bless145.htm. Lord's prayer http://www.daily-blessings.com/humor53.htm.  I just found a really neat site that I hope you'll all check out.. With the holidays coming up it has a great idea for that person you don't know what to get...but someone you think is the greatest.	It's called Unsung Hero and I know we all have one of those in our lives.. check this out and see what they have to offer.	Look at Unsung Hero	Rowan	1			
35	in your view, please proceed with execution.	Clement, Please review the attached Guaranty as I have modified same.	If acceptable in your view, please proceed with execution.	Execute it	Rowan	0			
36	In my absence please contact Barbara for coordination of legal	If Hanover is providing a straight lease, the lease for Bay Gas could be used.. If Hanover is providing a purchase option, the lease agreement would need to be modified for the purchase option.. My suggestion is to provide these forms to the customer with the caveat that as the commercial terms are fine tuned, these drafts will be modified.. But this gives them the basic idea.	In my absence please contact Barbara for coordination of legal support in the event you cannot wait until I return.	Contact Barbara for coordination of legal support	Rowan	1		1	
37	Call me when your	Mark,. Please double check this format of the confirmation, remove the draft statement and make fully executable and initial for me before you go home tonight.. This will be used to go before Lavorato tomorrow morning.	Call me when your are ready and I will come by and pick it up.	Call SENDER about confirmation.	Rowan				
38	225,000 and we need your help.	Taking insulin does not cure the disease nor prevent the development of complications; insulin is simply their life support system and without it they would die.. Enron continues to be a major corporate sponsor for JDF again this year.. JDF is a very efficient organization in which approximately 84% of all money raised goes directly to research.	Enron's goal this year is to raise 225,000 and we need your help.	Help raise money for JDF	Rowan	1			
39	Please come to the Enron Lobby and ask for me	Christie, please tell me you don't have Jeff down for this function.. He will be returning to Houston Monday afternoon.. Thanks, Joannie. Hi Friends!. The big Rice-ALP final presentation day is almost here: MONDAY, May 7th, 4pm, at Enron, 1400 Smith.	Please come to the Enron Lobby and ask for me or my assistant, Melinda McCarty.	Go to Enron Lobbby for SENDER	Rowan	1			
40	Please reference the order tracking number.	You bought 20 shares of JNPR Juniper Networks Inc Com at 1820-000 00.. ORDER DETAILS: The tracking number for this order is: B-300-AAYY-7964 Order entered at: 12:05:30 on 11/15/00 Order processing began at: 12:05:31 Order executed at: 12:05:31 on 11/15/00. You will receive a printed Datek Online confirmation by postal mail, or by electronic delivery if you are subscribed to that service.. Questions regarding this transaction?. Contact our Customer Support department by e-mailing support@datek.com.	Please reference the order tracking number.	Reference order tracking number	Rowan				
41	Please contact me at your earliest convenience at 713-8531-586 .	Enron has formed an Advisory Council which consists of academicians, public policy thinkers and media, together with Enron executives.. I would like to invite you to address the group on E-Commerce issues at our next meeting Friday, September 8th in Houston .. Attached is a list of our Advisory Council members.. I think you will find this group interesting and thought provoking.	Please contact me at your earliest convenience at 713-8531-586 .	Call SENDER at 713-8531-586	Rowan				
42	Please direct questions about this report to: Greg Shuttlesworth Email:	Attached is PIRA's Gas Flash.. Unauthorized distribution is prohibited.	Please direct questions about this report to: Greg Shuttlesworth Email: greg@pira.com , Tom Howard EMail: tazh@pira.com , Richard Redash Email: Rich@pira.com , Nobu Tarui Email: nobuo@pira.com or Jane Hsu Email: jane@pira.com .	SEND questions to Greg Shuttlesworth at greg@pira.com	Rowan	1		1	
43	Please post the JP MOrgan doc. on our site		Please post the JP MOrgan doc.	Post JP MOrgan doc.	Rowan				
44	Can you please send us your excel spreadsheets that were used for generated	Vince and Grant, ?	Can you please send us your excel spreadsheets that were used for generated the graphs??	Send excel spreadsheets to SENDER	Rowan	1			
45	Please review the following ticketed itinerary		Please review the following ticketed itinerary	Review ticked itinerary	Rowan				
46	facilities, please reply or give me a call.	As you indicated that EOG's line pressure would be near 650 psig, it will not be possible for TW to deliver into EOG unless they can lower their line pressure to about 550 psig or add compression.	If feasibility exists for EOG to add compression and you would like for me to proceed with providing a Level A cost estimate for measuring/regulating facilities, please reply or give me a call.	Call SENDER	Rowan	1			
47	will you send this list to everyone Pat's and Daren's group	Laura,	will you send this list to everyone Pat's and Daren's group	Send list to Pat's and Daren's group	Rowan	1			
48	Give me a call in January on this.	Per	Give me a call in January on this.	Call SENDER in January about this	Rowan	1			
49	plz respond with comments asap.	Richard,. When you get a minute I would like to catch you up on these issues.. I think it is appropriate to get outside counsel to look at the two Westinghouse issues we have.. Thanks,. Kay. everyone - greetings.. the attached letters are drafts for your review and comment.. we'll clean up the transmittal with letterhead at time of sending.. our intent is to send these two letters to siemens westinghouse asap.	plz respond with comments asap.	Reply with comments to SENDER	Rowan	1			
50	Don can you try and find a time next week with Lew	Guys, lets set up a meeting between the three of us on Monday ASAP to discuss.. I have a few ideas and I probably need to go have dinner with Lew to get him comfortable.. This may be setting up to be a larger asset management transaction.	Don can you try and find a time next week with Lew for me to have dinner - get Beverly to schedule the plane to get me in and out that day.	Coordinate with Lew about SENDER's dinner	Rowan				
51	Please get back to me with the selection.	PB,. I just talked with Cindy Olsen about the project.. We need to assign someone in our group to be the technology lead.. I know we have people on it but we need to pick someone to be responsible and then clarify that person's role.	Please get back to me with the selection.	Reply to SENDER with selection	Rowan				
52	PLEASE CALL 973-3760-005 ask for Order Dept.www.winelibrary.com	To Place an order .. .. .	PLEASE CALL 973-3760-005 ask for Order Dept.www.winelibrary.com or e-mail us at swl@winelibrary.com 1.	Call 973-3760-005	Rowan				
53	are acceptable, please print out two originals for execution by ENA and	Ben, thanks for getting back so quickly with comments on the Confidentiality Agreement.. Attached is a revised draft of the agreement blacklined from the May 10 draft to show the changes you and I discussed and some slight modification to address the concern I expressed to you.. I am enclosing a clean version of the blacklined agreement.	If the changes are acceptable, please print out two originals for execution by ENA and overnight to me for execution by Cinergy.	Print originals and overnight them to SENDER	Rowan				
54	Please, call Shirley Crenshaw X3-5290 to coordinate and order sandwich	Yannis,. It makes a lot of sense to get this info.. Also, You are welcome to make a presentation to the group this Thursday at lunch.	Please, call Shirley Crenshaw X3-5290 to coordinate and order sandwich you would like to have.	Coordinate with Shirley at X3-5290	Rowan				
55	Please review the attached amendment to see if it sets forth your		Janet, Please review the attached amendment to see if it sets forth your understanding of the pricing to be applicable with regard to the first volumes to be delivered during the July - June time period.	Review amendment	Rowan				
56	I am interested in the crib , please give me a call.		I am interested in the crib , please give me a call.	Call SENDER about crib	Rowan				
57	Would you make sure none of	We added a Transco meter to deal 30512 today.	Would you make sure none of that goofy financial stuff is impacted please?	Ensure financial stuff is not impacted	Rowan				
58	Thanks and please call me if you have questions, comments, etc.	If necessary, CES will sell back flowing gas to Enron in order to maintain the storage withdrawal at this level.. If TCO imposes some sort of operational limits that prevent us from pulling this amount, please pull as much as you can up to this amount without violating the limits or otherwise incurring penalties.	Thanks and please call me if you have questions, comments, etc.	Call SENDER	Rowan	1		1	
59	please correct per your calculation		please correct per your calculation	Correct it 	Rowan				
60	Please review the	Please advise if this is possible and if so, when the CD's would be available.. Mike Cazaubon. The following is an update on Enron's sales process, including several additions to DealBench.. 1.. The Purchase and Sale Agreement PSA for each asset has now been posted to DealBench under the New Document section.	Please review the instructions attached to each PSA.	Review instructions 	Rowan	0			
61	I know you distribution list is long, but can you please make sure I am on		I know you distribution list is long, but can you please make sure I am on it.	Add SENDER to distribution list	Rowan				
62	just send me a quick e-mail, and copy Bill Williams III real time manager ,	Thanks - I've changed it.. With deals like those, it's fine if you need to change the counterparty name in the interest of time or efficiency.	Could just send me a quick e-mail, and copy Bill Williams III real time manager , when you change deals under the Short Term West Hourly desk?	Copy Bill Willaims III on email to SENDER	Rowan				
63	Just please coordinate the format with Keith.	That is fine.	Just please coordinate the format with Keith.	Coordinate format with Keith	Rowan				
64	Please review for possible signing by Steve Harris on today.	Lee and Bill, please find attached two SW Gas Proposals from Kim Watson.	Please review for possible signing by Steve Harris on today.	Review SW Gas Proposals for signing today	Rowan				
65	field, please plan on attending this incite full presentation.	What is a hedge fund?.  Types of Buy-Side Firms.  ?Mutual Funds ?Venture Firms ?Leveraged Buyout Firms LBOs ?Institutional Money Management Firms ?Trust/Wealthy Client Firms ?Hedge Funds. What is the sell side?	If you are interested in learning more about the Hedge Fund industry and how to get into the profession, what is the career path for someone in this field, please plan on attending this incite full presentation.	Attend presentation	Rowan				
66	Please set a meeting to talk through this contract with Sami.		Please set a meeting to talk through this contract with Sami.	Schedule meeting about this contract	Rowan				
67	Per my voice mail, please respond about RMT vs. ENA.		Per my voice mail, please respond about RMT vs. ENA.	Reply to SENDER about RMT vs. ENA	Rowan				
68	Please configure their access for both floors and then confirm back to us when completed.	Security, Everyone on the attached list will require after hours access to the common areas on EB39 and EB42.	Please configure their access for both floors and then confirm back to us when completed.	Give every on list access to both floors	Rowan				
69	Can you please handle and ensure this is processed today.		Can you please handle and ensure this is processed today.	Ensure this is processed today	Rowan				
70	Take a look at the worksheet and give me a call.	My worksheet has a lot of support for the pricing we billed for January.	Take a look at the worksheet and give me a call.	Call SENDER about worksheet	Rowan				
71	Could you please add Derek Baily dbailey to the TDS and sitara access list?		Could you please add Derek Baily dbailey to the TDS and sitara access list?	Add  Derek Baily to access list	Rowan				
72	Please take a few minutes to completely fill out the following	Current Notes User:. To ensure that you experience a successful migration from Notes to Outlook, it is necessary to gather individual user information prior to your date of migration.	Please take a few minutes to completely fill out the following survey.	Complete survey	Rowan				
73	Because of the limited amount of dial-in ports, please gather in groups and call from a land-line phone by 9:20 am CST.	Omaha employees, please gather in 227 and dial 1-877-7953-687 and access code: 3131 to access the call.. Washington D.C. employees, please dial 1-877-7953-687 and access code: 3131 to access the call.. Please, no cell phones on the call.. A listen only international conference bridge has been reserved for the Wednesday, February 6, meeting.. Please dial 1-888-4227-109 and access code: 107825 to access the call.	Because of the limited amount of dial-in ports, please gather in groups and call from a land-line phone by 9:20 am CST.	Call from land-line in groups by 9:20 am CST	Rowan				
74	Please approve and autoschedule.	Kate,	Please approve and autoschedule.	Approve and autoschedule this	Rowan				
75	Can you set up a 5 minute mtg with me and all of the assistants and runners		Ina: Can you set up a 5 minute mtg with me and all of the assistants and runners in regards to what we discussed this week	Schedule meeting with SENDER and assistants	Rowan				
76	Please, contact Rudi Zipter to set up an interview with him and David Port.	Glenn,	Please, contact Rudi Zipter to set up an interview with him and David Port.	Contact Rudi Zipter to set up interview	Rowan				
77	Could you please take a moment to rspond on the attached.		Could you please take a moment to rspond on the attached.	Relpy on attached	Rowan				
78	call me at the room when you get to the hotel.	Ernie, Thanks for taking care of that.. I will probably be getting into Austin earlier than you.. I'll have my cell phone with me 281-7729-250 .. If you get into town earlier, give me a call.	Otherwise why don't you just call me at the room when you get to the hotel.	Call SENDER from hotel	Rowan				
79	Please call me before you leave, and yes, you	Just tried to call you.	Please call me before you leave, and yes, you probably need to leave, but where will you go?	Call SENDER	Rowan				
80	To send a message to all the people currently subscribed to the list,	This may prove very useful the next time you go on vacation and need to leave the lists temporarily so as not to fill up your mailbox while you are away!. You should also save the welcome messages from the list owners that you will occasionally receive after subscribing to a new list.	To send a message to all the people currently subscribed to the list, just send mail to FRBNYRMAG1@PEACH.EASE.LSOFT.COM.	Email FRBNYRMAG1@PEACH.EASE.LSOFT.COM	Rowan			1	
81	Steve, please add Victor and myself to your email distribution.		Steve, please add Victor and myself to your email distribution.	Add SENDER and Victor to email distribution	Rowan				
82	you please call Dale Onrait at 250-7122-195 and have him liquidate the	The transfer of your securities and mutual funds is in process.. There are a few Canadian items that will not transfer.. You mentioned that you would like to sell the Canadian securities and transfer the cash.	Can you please call Dale Onrait at 250-7122-195 and have him liquidate the Canadian positions and tell him you would like the proceeds and the Candian cash to be converted to US dollars and transfered to RBC Dain Rauscher.	Call Dale Onrait at 250-7122-195	Rowan				
83	Daren would you look at the price for 29 and 30th of March 2000 .		Daren would you look at the price for 29 and 30th of March 2000 .	Examine price for 29 and 30th of March 2000	Rowan				
84	Please call me if you would like to discuss.	See comments therein.	Please call me if you would like to discuss.	Call SENDER	Rowan	1		1	
85	Please take a minute to review the list and provide any bulleted	Attached is a working group list for the Project Stanley file.	Please take a minute to review the list and provide any bulleted information to my secretary, Joanne, at joanne.bennett@blakes.com.	Review group list for Project Stanley file	Rowan	1			
86	Mark: Please verify for me that you told Susan F. that Samantha would be		Mark: Please verify for me that you told Susan F. that Samantha would be responsible for the brokerage accounts when she joins us.	Verify Susan F. knows Samantha is responsible for brokerage accounts	Rowan				
87	Everyone, pls forward to me ASAP your list of top customers you want invited		Everyone, pls forward to me ASAP your list of top customers you want invited to the Oct.	Forward top customer list to SENDER	Rowan				
88	Kimat, please forward to the Canadian Book Admin.	We sold the National Fuel back to the Canadian desk for June at NX1 .235.. The volume is 9189 per day, deal ticket 782980.	Kimat, please forward to the Canadian Book Admin.	Forward deal ticket to Canadian Book Admin	Rowan	1			
89	Could you email me the list of issues you have encountered thus far.		Could you email me the list of issues you have encountered thus far.	Send list of issues to SENDER	Rowan				
90	Please provide comments to the project director Amy Jaffe or the task force	Attached is the initial draft of the Strategic Energy TF Report.. This report is for your review and comment at the meeting on 10 Jan 01.. The meeting is scheduled from 6:00 pm to 9:00 pm in NYC and 5:00 pm to 8:00 pm in Houston.. We expect 32 participants.	Please provide comments to the project director Amy Jaffe or the task force chair Ed Morse.	Provide comments to Amy Jaffe or Ed Morse	Rowan	1			
91	check out the Hot Issues of the day, browse through help topics and view	Click here to enable:. https://investment.datek.com/?href /a option/subs/edsubs.htm. By accessing this confirmation you consent to receive this confirmation electronically.. You may print or download this document for your records.. If you are enabled and wish to stop receiving account documents via electronic delivery, you may cancel your subscription by logging into Datek and choosing Settings from the Account Services menu.. If you have any questions, please try our new @nswerbox feature.	You can check out the Hot Issues of the day, browse through help topics and view your Active Case List.	Look at Hot Issues	Rowan	1		1	
92	Please plan to attend.	There will be a Quarterly Legal Review QLR for the Financial Trading group with Mark Haedicke on Wednesday, June 6, 2001, from 3:00 to 5:00 p.m. in EB38C2.	Please plan to attend.	Attend Quarterly Legal Review QLR	Rowan	1			
93	Can you e-mail to me the new Canadian Annex?	Tana,	Can you e-mail to me the new Canadian Annex?	Send Canadian Annex to SENDER	Rowan				
94	Susan: Please change the signature block as set forth below and I'll		Susan: Please change the signature block as set forth below and I'll review.	Change signature block	Rowan				
95	I don't know what that means could you please clarify?	William,. I am very interested in both the Signac and Cross.. A few questions about the pieces.. You referenced Meier Graefe for Pan for both pieces.	I don't know what that means could you please clarify?	Clarify Meier Graefe	Rowan	1			
96	Please respond to lgibson@ogwb.com		Please respond to lgibson@ogwb.com	Reply to lgibson@ogwb.com	Rowan				
97	Audrey, can you open these documents?		Audrey, can you open these documents?	Open documents	Rowan				
98	Could you please resend it?	Hi Eric,. I had a computer malfunction and lost your email.	Could you please resend it?	Send email to SENDER	Rowan	1			
99	Please acknowledge receipt.	ALL. Attached is the initial draft of the Strategic Energy TF Report.. This report is for your review and comment at the meeting on 10 Jan 01.. The meeting is scheduled from 6:00 pm to 9:00 pm in NYC and 5:00 pm to 8:00 pm in Houston.. We expect 32 participants.. Please provide comments to the project director Amy Jaffe or the task force chair Ed Morse.	Please acknowledge receipt.	Acknowledge receipt	Rowan				
100	I need your help regarding the above counterparties As you probably know, at		Joe: I need your help regarding the above counterparties	Help SENDER regarding counterparties	Rowan				
101	Can you please forward me the cost centre to	Hi Tana, when I spoke to you last week regarding the FedEx bill charged to one of our customer Lake Side Packers you gave the company number which is great then you gave me a billing code.. Accounting has come back to me indicating that they need a cost centre.. The billing code number apparently does not mean anything to them.	Can you please forward me the cost centre to which this FedEx bill should be charged to.	Forward cost centre to SENDER	Rowan	1			
102	If you made an update during this period, please return to eHRonline and review your information particularly for the following four categories:	Some of you may have entered updates to your personal information in eHRonline from Friday, March 1 through Monday, March 4.. However, we experienced some problems with the HR system during this time, and it is likely that certain updates were lost.	If you made an update during this period, please return to eHRonline and review your information particularly for the following four categories: Banking information for direct deposit Tax W-4 information Home address Emergency contact	Review your information on eHRonline	Rowan	1		1	
103	call me when you get in please.		call me when you get in please.	Call SENDER	Rowan				
104	Could you please respond as soon as possible to this email or directly to	Ok to sue. Deer Park Rail Terminal, Inc.. Bonnie White has not received a response from you on whether to go forward with filing this suit on behalf of HPL against Deer Park Rail Terminal.	Could you please respond as soon as possible to this email or directly to Bonnie White if you know of any reason why ENA should not go forward with filing this suit.	Reply to SENDER	Rowan	1			
105	Would you research this please?		Would you research this please?	Research this	Rowan				
106	Please remove her from all	Mary Hain has resigned her position with Enron.	Please remove her from all your mail lists.	Remove Mary Hain from mail lists	Rowan	1			
107	Susan: would you please respond to this trader?		Susan: would you please respond to this trader?	Reply to this trader	Rowan				
108	Please respond to Chris Germany@enron.com	68 dth's.	Please respond to Chris Germany@enron.com	Reply to Chris at Germany@enron.com	Rowan				
109	Please make plans to attend this very important and	There will be a class on July 20 on the GISB Related Standards Changes from Version 1.4 to Version 1.5.. The attached file give information on where, when, what and how.	Please make plans to attend this very important and informative class.	Attend class on GISB Related Standards Changes	Rowan	1			
110	share a roll, e-mail select pictures, download photos, send a photo	They will be available online until Sunday, Jun 10, 2001.. You have full access to ordering reprints, enlargements, photo gifts and all the other great services on Kodak PhotoNet online, so have fun trying new ways to use photos!. For reference the access code for the roll that has been shared is: MY00MOOR981601. After logging into your account, all of your online rolls will appear.. YouOll have 4 fun areas to choose from including:	VIEW AND SHARE: View your photos in thumbnail size or larger views, share a roll, e-mail select pictures, download photos, send a photo photo postcard, or add a caption.	View photos	Rowan	1			
111	Please, send me your fax # for more info.	Hello,. This is the presentations I have promised.	Please, send me your fax # for more info.	Send fax number to SENDER	Rowan	1			
112	Will you please create a new product that reads as follows:	Hi Melba,	Will you please create a new product that reads as follows:	Create new product	Rowan	1			
113	Also, please check on the kingsgate to malin and stanfield to malin for next	Please review the transport positions in sitara for next month.. We should have the Baja transport included.. 100,000 short for PG&E topock, 80,000 long Citygate, and 20,000 long KRS.. The sj to socal transport should be broken out to like 24,000 topock, 14,000 mojave, and the balance to pg&e topock.	Also, please check on the kingsgate to malin and stanfield to malin for next month.	Check on kingsgate to malin and stanfield to malin	Rowan				
114	To view the Group members, please open the ECT Address book, click on Groups,	How do I do more than one request at a time.. Can you call me a x33399?. Good afternoon,. Please submit an eRequest for the access request all 5-7 people can be placed on one request .	To view the Group members, please open the ECT Address book, click on Groups, then double-click on the name of the group.	Open ECT Address Book	Rowan			1	
115	please contact the ISC Call Center at 713-3454-727 .	We anticipate the majority of the advices will be received by Friday afternoon.. Please be assured this does not impact the deposit of funds to your bank account.. Your funds will be available on payday, Friday, March 30th.. Please remember that eHRonline provides functionality which allows you to electronically access your earnings statement.. If you need help with your logon id or password, please use the automated reset password and id lookup process online.	If you need further assistance with your ID or password, please contact the ISC Call Center at 713-3454-727 .	Call ISC Call Center at 713-3454-727 	Rowan	1			
116	Kay, Please review the attached.		Kay, Please review the attached.	Review attached	Rowan				
117	Please review and provide your thoughts.	Brian,. Attached is a very rough draft of a 20/20 Term Sheet that is contemplated to be attached to a Letter of Intent.	Please review and provide your thoughts.	Review draft of 20/20 Term Sheet	Rowan	1			
118	Please send me any agenda items you'd like to cover in the next meeting by	Attached are the minutes of the last conference call, along with two items on transmission congestion pricing - the presentation Dan Allegretti briefed us on, and a list of questions and answers about flowgate transmission pricing, for background.	Please send me any agenda items you'd like to cover in the next meeting by Monday, Oct. 2.	Send agenda items to SENDER	Rowan	1			
119	Please review and let's discuss.	Barry, Attached is a draft of the confirm for the Sierra Deal.. This confirm reflect only the volumes related to Package Two.. The confirm for package one would be indentical to this one with term and volumes revised.. As we discussed this confirm, does not reflect the revisions needed to the existing master.	Please review and let's discuss.	Review draft of confirm for Sierra Deal	Rowan	1			
120	give me a call with any comments on the documents or with any queries	For that reason, we will draft and send to you for your review a simple form of receipt to be signed by GE, acknowledging that it has received payment in full from the escrow account.. This receipt will be signed when the Turbine Contract and Consent are signed, but not released until GE has actually received its money.. I appreciate that the timing of this structure is complicated.	Please do give me a call with any comments on the documents or with any queries regarding timing.	Call SENDER with comments	Rowan	1			
