Sentence	Request
Run for the roundhouse Nellie, he'll never corner you there.	0
Slick as catshit and twice as nasty.	0
Like shit through a goose.	0
Yeah, that's right, keep fiddlin' with that, you'll break it	0
Ho	0
she cried in excess wild and waved her wooden leg on high	0
On accounta the war.	0
They'll have to shoot him on judgement day.	0
Then of course, there are the names: Katy, Devie, My Little Mochawk, Phil Jofus, and Bubba	0
Choke ass referring to peanut butter	0
If it tastes good there are no calories	0
Didn't know you were in town as driver passes on the right, etc.	0
Like a couple of cub bears meaning Rob and Phil	0
Washington D.C. District or Corruption	0
Have some onions for defense	0
He won't have the guts to do THAT again when a bug hits the windshield	0
Saps goin' up the tree	0
Big Al	0
Douglas Doorite	0
Must be a storm comin'; the kids are actin' up	0
Constipate concentrate	0
Like being in hell with your back broke 22. gourd cover hat 23. mitts, dogs, paws hands or feet 24. you're too young	0
Worthington when we asked him where something was or where he was going 26. overhose blue jeans 27. excruciating pain	0
when we squeezed his hand	0
That's a hell of a note 29. meat wagon ambulance 30. drappies drapes 31. grappies grapes	0
Whoa horsie	0
Just cuz you only got 3 legs.	0
when he was putting on the brakes in the car	0
Jeana, Jeana corpastina, I'm in love with you	0
I love you anyway	0
Scuse my boardin' house reach.	1
Come on out and let me lay a wheel on ya	1
in traffic	0
Sit down and start passin' at meal time	1
That's a bit of all right.	0
Here, guard this with your life when he handed something to us at a store	0
SOL shit out of luck	0
I'll tell ya when your're 21.	0
42. fernilla, dawberry, shocoletta vanilla, strawberry, chocolate 43. straighten up, now.	0
Pardon me soldier.	0
when he burped	0
I'm going to assume the position of a soldier.	0
when he was going to lay on the couch for a nap 46. horses doovers 47. lemon meringoo pie 48. solft 49. go ahead, see if it bends when someone pulled out in front of him	0
Ioway State	0
Cedar Rapids, Cedar Rapids, come on down.	0
Hotel Roosevelt center of town.	0
A hundred dogs going wild in the tobacco field.	0
a quote from the one Russian guy in Cascade	0
Cut her loose and let her wander.	1
Get your dogs under the table.	1
Shit	0
cried the queen and a thousand loyal subjects strained their bowels.	0
when we left lights on 57.	0
That makes it soggy and hard to light 58.	0
Full as a tick 59.	0
A treat instead of a treatment 60.	0
Intermittent Power	0
Melissa loves talking about Houston real estate one of the many quirks I love her for .	0
I'll find out when she can do it.	0
I really did not have to discuss about moving to Houston.	0
The conversation was more around when and how.	0
On Friday I have to be in Houston for an EBS meeting on Mexico.	0
I am planning to arrive there on Thursday morning to talk to Rick, to Dan Reck and to Shawn Cumberland.	0
I also need to find out about relocation and visas , etc.	0
I am writing you to thank you for your generosity in your advice and for helping me and encouraging me in making this important decision.	0
I am also wirting because I am taking your word on Melissa's knowledge of the real estate market inside the loop.	0
Elsa is coming with me on Thursday morning and we would like to see if it is possible for us to meet with Melissa on Thursday, Friday or Saturday for advice and orientation.	0
Of course you would be welcome to the real estate working session	0
Please let me know.	1
Thanks again, Ricardo	0
I'd love to see the General and you of course , but I'm going to have to pass.	0
Thanks anyway.	0
The guest speaker this year will be General Norman Schwarzkof.	0
Please contact Cathy Phillips X-36898 and let her know if you are interested in attending.	1
Thank you.	0
Mike	0
You guys gave him a really good life.	0
Rest in peace.	0
Rob Kean	0
You can inform them that they should keep the books in stock and probably order a few more copies.	0
I am in London right now and will stay here for a few more days.	0
Swamped with work as usual.	0
I was on the road for the last 2 weeks.	0
The tropical storm unleashed the fury on my neighborhood 20 inches in one night but we survived without major problems.	0
The only problem I had was an overflowing swimming pool it took 45 minutes to go from a comfortable slack to a full condition .	0
We've been in contact with Rice University's bookshop and they informed us that they have a few books left over from the course.	0
We told them originally that if they didn't sell them all we would take them back.	0
Hope that the storm didn't cause you any problems.	0
Julie	0
I've been unable to contact him directly.	0
Thanks in advance.	0
Best Regards, Chris M. Culberson cmculbe@us.ibm.com 281 556-8104	0
Things are interesting.	0
Enron is moving right along and we will find out about who I am working for on Friday our auction should be completed then .	0
Not too much else is new.	0
My place continues to get better as I slowly furnish it , but Portland continues to be the little sister to Seattle.	0
A couple new bars in town suggest she might be getting closer to puberty but definitely not the woman about town that Seattle is.	0
And I hope you are the only one reading this if it is not .	0
If that is the case, well, we can see what we can do about it.	0
As always, I have no plans the next couple weekends, so give me a shout still have my cell phone at 503-887-3449 if you want to take a trip on down.	0
Your always welcome to crash on my couch... sorry its all I have, I got rid of the futon .	0
Hope youre doing well.	0
Word.	0
Awww Jeahh.	0
It's nice to hear from you.	0
Ive been trying to get in touch with yall for quite some time.	0
Please reply back to this message and let me know how Things are.	1
Yes, the question is ambiguous, but try to go with it.	0
: Everything has reached a new status quo.	1
I live in Gig Harbor and attend class at UW Tacoma UWT for short .	0
Class is great and their are plenty of beautiful lasses for viewing pleasure.	0
Hopefully I will be out of GH soon.	0
I will start looking for jobs in Portland, Seattle, and SF possibly in Spring.	0
I have not been working on my tan.	0
I would really like to visit the city of Roses in the next few weekends.	0
I hope everything is well with you.	0
Please write back soon.	1
Buenos Nachos, Scott Sent by Go2net Mail	0
I cannot give you a personal recommendation per se because, in the end, I opted not to hire an attorney to file my patent until I had decided whether I wanted to protect my work as a trade secret or as a patented commodity.	0
I ultimately struck a compromise position by filing my own provisional patent application.	0
or not; it also provides patent pending protection from the date I filed it with the U. S. Patent and Trademark Office.	0
In the process of investigating the options for safeguarding my intellectual property, however, I did talk to quite a number of patent attorneys.	0
Of these, I think that perhaps David Richie might be the most appropriate for your son's software idea.	0
He talked as though he had a particular specialty in software issues; he also struck me as competent and aggressive.	0
He practices in the Silicon Valley and can be reached at telephone number 408 282-18	0
I suspect that he has already done so, but if not, your son might want to visit the internet site of the U. S. Patent Office.	0
Basic information and forms can be downloaded from there.	0
Two other, newer sites might also intrigue him-both deal with the protection, valuation and marketing of intellectual property, patents, etc.	0
They are: pl-x.com The Patent and License Exchange, Inc. yet2come.com Hope this is helpful.	0
Regards, Larry Thorne	0
I really appreciate the organization and order you have brought to this process.	0
It's great to work with you again after all of this time	0
Patrick	0
Our Council of Overseers does not yet have a written charter.	0
However, it really is a key advisory group to the Jones School.	0
gil	0
I'm a sucker for blatant heart string pulling.	0
I love it.	0
I'm misty.	0
> Great Press on Lieberman.	0
See below.	0
> > > http://opinionjournal.com/columnists/pnoonan/ > A 1960 Moment > Al Gore's selection of Joe Lieberman gives Democrats--and everyone > else--something to cheer about.	0
> BY PEGGY NOONAN > Monday August 7, 2000 4:26 p.m. EDT > The choice of Joe Lieberman of Connecticut as Al Gore's running mate is so > smart, so clever, so good, so satisfying, so striking that it just may > turn > this election a bit on its head for a while.	0
Certainly its most immediate > effect is going to be a successful Democratic convention next week in Los > Angeles, because now the Democrats, badly hit by their own form of Clinton > fatigue and acutely aware of the particular charmlessness of their > presidential candidate, have something to cheer about.	0
They respect Joe > Lieberman.	0
They think he has a center, a moral and ethical view of the > world.	0
He is experienced and articulate.	0
He is decent and intelligent.	0
He > is > independent.	0
The media love him.	0
He is a regular co-star on Imus, and all > of > the columnists and reporters for the elite newspapers, and all of the > electronic pundits and anchors, know him and admire him.	0
> But that is not what is most wonderful.	0
What is most wonderful is that he > is > an Orthodox Jew.	0
It means a lot of people who love > America more than they love parties or politics are happy that a big and > great breakthrough has occurred.	0
A friend, a journalist who is politically > conservative and Jewish, e-mailed me to tell me he had been weeping all > morning, that he'd cried when he heard the news.	0
Another friend, a > producer at a TV news show, called and told me she woke her father in > California to give him the news and they both got choked up.	0
This is like > 1960, she said, and I said I know, and I got choked up.	0
It is wonderful > when America is at her most American, and breaks down another barrier and > says What's in your heart is most important.	0
> If Joe Lieberman had been Joe Lee, and an Episcopalian, Al Gore would have > been smart to pick him.	0
He would have been an obvious choice.	0
The only > reason he would have hesitated over Mr. Lieberman is that he's Jewish.	0
Mr. > Gore decided that was just fine.	0
I think that I have never seen Al Gore do > such an elegant, intelligent and original thing.	0
Well done, Mr. Gore.	0
> I have to tell you, this really does feel like a 1960 moment to me.	0
I was > a > little girl when a Catholic got chosen to run for president, and I had > gathered from the conversation of grownups that You Don't Elect Catholics > to the Presidency.	0
When it happened, it's hard to describe how exciting > and > moving and idealism-inspiring it was.	0
It gave a lot of people a lot of > joy.	0
> It opened things up more.	0
That was a good thing.	0
So is this.	0
> And because this is such a good thing, I hope everyone of whatever > politics > or persuasion sits back for a few days and feels good about it.	0
Everyone > should be nice and not do any political bashing until .	0
Friday.	0
> However, I think it's okay and maybe even helpful to note the following.	0
> Network producers are going to decide, in their bright and touchingly > uninformed minds, that the big opponents of the Lieberman choice will be > Christian conservatives.	0
That's where they'll go for the negative sound > bites.	0
But Christian conservatives love Joe Lieberman.	0
They've been arm in > arm with him in the great cultural battles of the past decade.	0
He was just > about the only Democrat who'd give them the time of day.	0
He was on their > side.	0
> The last time I saw Mr. Lieberman was last spring, in New York, at a > symposium on Hollywood and the culture.	0
I moderated and introduced our > guests--Joe Lieberman and Bill Bennett, who are close friends and > co-warriors in the values battle.	0
Lieberman and Bennett very frankly > talked > to the audience of producers and writers and network people and movie > stars about how to make television and film and music more decent, more > helpful.	0
> This is how people on the right think of and have experienced Mr. > Lieberman--as a good guy with his head screwed on right.	0
> Many conservative Christians--I think most conservative Christians--see > all > of those who love God as part of the same cultural minority.	0
> Conservative > Christians don't feel they have much in common, in terms of their > political > desires, with atheists and agnostics and leftist Episcopalian bishops and > such.	0
But they think they have a great deal in common with Orthodox Jews.	0
> They crowd around Rabbi Daniel Lapin when he speaks at a conservative > gathering; they crowd around Dennis Prager, Michael Medved, David Horowitz > and scores of others.	0
One of the biggest heroes of conservative Christians > is an Orthodox Jew called Dr. Laura; the last time I saw her she was > wowing them at a born-again Christian assembly at the National Prayer > Breakfast last February.	0
> A powerful and respected political officeholder told me Monday that > there's > no upside to the Lieberman choice.	0
I told him there's no downside.	0
He > was surprised and said, He can't even campaign on Saturdays	0
I said so > what, America would love to see a politician who actually put God first > one day a week.	0
Joe Lieberman not > campaigning on Saturday is Sandy Koufax not pitching on Yom Kippur.	0
There > were a lot of great sports moments in the 1950s and 1960s, but none > greater than the day in 1965 when Mr. Koufax put God before the World > Series.	0
What a great guy, what a lesson for a generation of Christian and > Jewish kids.	0
And Muslims and everyone else too.	0
> Yes, it's good news for Hillary.	0
It's great news for Hillary.	0
It enlivens > part of her New York base, it says to New York Jews that the Democrats are > the party that did this great thing, it excites people--and may help them > forget, or at least not remember so vividly, that the Democratic > senatorial > candidate has, shall we say, a not fully satisfying relationship with New > York's Jews.	0
A historic choice like the Mr. Lieberman can overwhelm a lot > of > previous bad static.	0
> But let's not care about that for now.	0
The headline is: It Is Good for America.	0
It is a wonderful > country that does something like this, that takes a good man who is a > member of a small ethnic/religious minority to be one of its two major > vice > presidential candidates, and that greets that choice with resounding > hurrahs.	0
> This is really a great day.	0
We should all be happy.	0
We really are a > maturing > democracy.	0
I am soooo looking forward to my next Biennial Resource Planning proceeding.	0
I cannot give you a personal recommendation per se because, in the end, I opted not to hire an attorney to file my patent until I had decided whether I wanted to protect my work as a trade secret or as a patented commodity.	0
I ultimately struck a compromise position by filing my own provisional patent application.	0
or not; it also provides patent pending protection from the date I filed it with the U. S. Patent and Trademark Office.	0
In the process of investigating the options for safeguarding my intellectual property, however, I did talk to quite a number of patent attorneys.	0
Of these, I think that perhaps David Richie might be the most appropriate for your son's software idea.	0
He talked as though he had a particular specialty in software issues; he also struck me as competent and aggressive.	0
He practices in the Silicon Valley and can be reached at telephone number 408-282-1856.	0
I suspect that he has already done so, but if not, your son might want to visit the internet site of the U. S. Patent Office.	0
Basic information and forms can be downloaded from there.	0
Two other, newer sites might also intrigue him-both deal with the protection, valuation and marketing of intellectual property, patents, etc.	0
They are: pl-x.com The Patent and License Exchange, Inc. yet2come.com Hope this is helpful.	0
Regards, Larry Thorne	0
I am forwarding the message to my son.	0
He is an IBM Fellow in the Advanced File Architecture department of the Almaden Research Center.	0
His name is Dr. Steven R. Hetzler.	0
Email is hetzler@almaden.ibm.com.	0
Phone is 408-927-2614.	0
I mentioned your son's areas of expertise, and he was interested in receiving a copy of his resume if your son might be interested.	0
As I mentioned, Steve's area of interest is storage technology.	0
Feel free to contact him and mention my name.	0
He said that IBM put on a hiring freeze three weeks ago, so it may be a couple of months until he can hire.	0
But, he has openings for the right people when he gets authority.	0
Bill	0
I am becoming an old man.	0
Have A Great Day , Vince ..... Kevin Moore	0
I know Tony will understand if they are already spoken for, but if we have some left that would go unused, we have a volunteer.	0
Who would have guessed that the California power crisis and Gray Davis could be so funny.	0
Kevin Los Angeles Daily News Friday, June 22, 2001 'Tonight Show' pokes fun at power crisis By Fred Shuster Staff Writer BURBANK -- Jay Leno pulled the plug on his late-night chat show Thursday, doing his part for the state's energy crisis, but viewers weren't left in the dark.	0
Flashlights, mining helmets and multicolor glow sticks helped to illuminate the set for the show dubbed a one-time-only The Tonight Show Unplugged, which Leno said saved enough electricity to light a house for a month.	0
IMAGE The unplugged edition of The Tonight Show with Jay Leno pokes fun at the California power crisis Reed Saxon / A.P.	0
Call it NBC's Can't See TV.	0
This is not some cheap rating ploy.	0
If this works, they're gonna make us do this every night, Leno joked as part of his opening monologue.	0
The nationally broadcast show, featuring a comic interlude with California Gov.	0
Gray Davis, utilized just a small amount of electricity to run the cameras, Leno said before the show began.	0
Actually, in Burbank, where the taping took place at NBC Studios, the city owns the power company and residents and businesses have not been hit by rolling blackouts as in other areas.	0
The city made 5 million in profit in May after racking up 60 million in excess power sales.	0
But Leno said not using studio lights, TV monitors, amplifiers and other power sources Thursday saved enough electricity to light a four-bedroom house for a month.	0
Members of the house band wore miner's helmets, with group leader Kevin Eubanks strumming an acoustic guitar rather than his regular electric instrument.	0
The stage was lit by candles, torches and flashlight beams trained on Leno.	0
Members of the studio audience used the gear to help brighten the set.	0
This is real goofy, Leno said before taping got under way.	0
We'll see what happens.	0
Guests included Arsenio Hall, Gilbert Gottfried, a trainer of nocturnal animals and a Hawaiian fire dancer -- and a brief visit from the governor.	0
Exuding whatever is the direct opposite of charisma, Davis had a brief exchange with Leno, drawing laughs with the line, This is the first time Gray Davis and the word electricity have ever appeared in the same sentence.	0
Leno's staff wore glasses with small lights attached and audience prompter Bob Perlow held a hand-scrawled applause sign aloft throughout the show instead of switching on the usual electric model.	0
While there was little energy in play, there was no shortage of laughs.	0
Leno joked that President George W. Bush told Davis not to worry because, I've been operating in the dark for years.	0
Those in the studio said Leno's nocturnal transmission added excitement to the program.	0
It was cool, said Lillie Harrell, 17, a tourist from Hammond, La.	0
The crowd got really involved.	0
I guess it shows you don't really need all those lights.	0
Added Jose Tano, 21, a Burbank resident and student at the University of California, Los Angeles, It was a good idea and a great way to make a point.	0
The local power company might not have made out very well, but the studio audience didn't end up empty-handed.	0
Each received a fluorescent lantern and pack of batteries as they left the studio.	0
I particularly recommend mistakes and mediocrity.	0
I'm sorry to clog up your email in boxes, but I found the attached to be pretty interesting.	0
> > You should all print thesee out on color lasers and frame them for your bosses secret santa gift	0
LOL - PROCRAST.gif - APATHY.gif - DEFEAT.gif - FAILURE.gif - FUTILITY.gif - INEPTITU.gif - LOSING.gif - MEDIOCRI.gif - MISTAKES.gif - PESSIMIS.gif - AGONY.gif	0
Confidential has been received.	0
Confidential 1997 on 12/31/2001 We will be processing your QwikList selections and will send the next available dvd on your QwikList.	0
You will receive another email when it ships.	0
Thank You	0
IMAGE L.A.	0
Confidential 1997 Home Customer Service Rental Details	0
Well the ride is this weekend, time is running out and we need you	0
Enron's goal is to raise 700,000, and Jeff's personal goal is to raise 50,000.	0
As of today, we are a little better than half way there.	0
Thanks for your consideration.	0
I look forward to hearing from you tomorrow... Sherri :-	0
You guys gave him a really good life.	0
Rest in peace.	0
Rob Kean	0
That's great news.	0
I continue to be impressed by the way Fox is handling things.	0
Let me know what I can do to help.	1
As you know we are looking for a replacement for the unreplaceable Ricardo Charvel.	0
I know you and he have discussed some possibilities.	0
Rick Shapiro has met several candidates and will be bringing two to Houston in the next week or so.	0
Dr. Kean continues to improve her golf game while I slave away at Enron to cover the greens fees.	0
Let me know when you are coming to town next.	1
Run for the roundhouse Nellie, he'll never corner you there.	0
Slick as catshit and twice as nasty.	0
Like shit through a goose.	0
Yeah, that's right, keep fiddlin' with that, you'll break it 5.	0
Ho	0
she cried in excess wild and waved her wooden leg on high	0
On accounta the war.	0
They'll have to shoot him on judgement day.	0
Then of course, there are the names: Katy, Devie, My Little Mochawk, Phil Jofus, and Bubba 9.	0
Choke ass referring to peanut butter 10.	0
If it tastes good there are no calories 11.	0
Didn't know you were in town as driver passes on the right, etc.	0
12	0
Like a couple of cub bears meaning Rob and Phil 13.	0
Washington D.C. District or Corruption 14.	0
Have some onions for defense 15.	1
He won't have the guts to do THAT again when a bug hits the windshield 16.	0
Saps goin' up the tree 17.	0
Big Al 18.	0
Douglas Doorite 19.	0
Must be a storm comin'; the kids are actin' up 20.	0
Constipate concentrate 21.	0
Like being in hell with your back broke 22. gourd cover hat 23. mitts, dogs, paws hands or feet 24. you're too young 25.	0
Worthington when we asked him where something was or where he was going 26. overhose blue jeans 27. excruciating pain	0
when we squeezed his hand 28.	0
That's a hell of a note 29. meat wagon ambulance 30. drappies drapes 31. grappies grapes 32.	0
Whoa horsie	0
Just cuz you only got 3 legs.	0
when he was putting on the brakes in the car 33.	0
Jeana, Jeana corpastina, I'm in love with you 34.	0
I love you anyway 35.	0
Scuse my boardin' house reach.	0
Come on out and let me lay a wheel on ya	1
in traffic 37.	0
Sit down and start passin' at meal time 38.	1
That's a bit of all right.	0
Here, guard this with your life when he handed something to us at a store 40.	0
SOL shit out of luck 41.	0
I'll tell ya when your're 21.	0
42. fernilla, dawberry, shocoletta vanilla, strawberry, chocolate 43. straighten up, now.	0
44	0
Pardon me soldier.	0
when he burped 45.	0
I'm going to assume the position of a soldier.	0
Ioway State 51.	0
Cedar Rapids, Cedar Rapids, come on down.	0
Hotel Roosevelt center of town.	0
52	0
A hundred dogs going wild in the tobacco field.	0
a quote from the one Russian guy in Cascade 53.	0
Cut her loose and let her wander.	1
54	0
Get your dogs under the table.	1
55	0
Shit	0
cried the queen and a thousand loyal subjects strained their bowels.	0
when we left lights on	0
That makes it soggy and hard to light	0
Full as a tick	0
A treat instead of a treatment	0
Steve and Mark, a good friend of mine works for Mr. Grimes at Stewart & Stevenson.	0
They have been offered this opportunity by the China Assoc.	0
for Social and Economic Development for a commitment of 74,000.	0
Since Mr. Lay has been a past recipient according to their attached letter , they are wondering if this is legit.	0
Thanks for your help.	0
Hi Sherri, We would be most appreciative if you can help us out on this one	1
In this letter, Mr. Wu mentions that Dr. Kenneth Lay was a past recipient.	0
Well, you just called - so I won't complete this email	0
I would like to keep this confidential especially regarding the New York Office.	0
As my request has nothing to do with the people in this office or the group they are wonderful I've been with Enron since '97 and I relocated up to Connecticut to work with the New Power Company when I thought that the Enron employees would stay Enron employees.	0
Afterwards of course we all were changed to NewPower employees.	0
After a couple of months I made the move back to Enron and went to the New York office and work with the Enron Metals group here at 53rd street.	0
It was never my intention to leave Enron Since the bombing I feel very displaced and my husband and I would really like to come back to Houston and was wondering if you could help me.	1
I was on the trading floor working with Dave Delainey's group when he was in ENA and also was the Exec Secretary/Coordinator with the MWB group in George Warsoff's group.	0
I would appreciate it very much if you were able to assist/guide me.	1
Sincerely, Teri Teri Connor-Smith Admin Coordinator Enron Metals & Commodities Corp tsmith3@enron.com 212 715-5601	0
Let's communicate Breathitt's interest to Bone and stay out of it for now.	0
He had just gotten off the phone with Massey.	0
Massey believes Linda B. is spending time at the White House lobbying to be Chair.	0
I would prefer backing Massey.	0
The President will then name a new Chairman.	0
Bill Massey is quite interested in receiving the nomination.	0
Please call to discuss.	1
John	0
No big changes.	0
Andrea and I look forward to seeing you on Monday.	0
Regards, Eugenio	0
I was glad to do it and would do it again... next time my computer will work.	0
I benefitted a great deal from what I heard from the group, especially regarding the PRC.	0
FYI -- we conducted a post-event survey on opinions about the HR employee meeting held last month and the HR management team thought you should know that participants rated your presentation very high.	0
When asked what should be kept the same next time, participants commented as follows about your presentation: I think a presentation from Corporate HR is of great value.	0
Keep the presentations by the officers .	1
to talk about the business.	0
I liked having other people from ETS/Enron there to better understand the big picture and where Enron is going.	0
Continue to bring in invited guests to keep the group apprised of Corporate activities.	1
I liked the opportunity to hear both Stan and Steve--the field staff don't get as many opportunities to hear from corporate management.	0
Visits by Steve Kean and Stan Horton.	0
Their perspectives are very good .	0
Clearly, your participation provided much value to the group and we appreciate very much your taking the time to come meet with us and share information.	0
You should expect that we'll be asking you to come back again	0
Regards, - Roger	0
Vance CNN Sunday, May 20th 5:30 Central a.m. and p.m. CNNfn Monday, 5/21 - Friday, 5/25 7:00 p.m. & 10:30 p.m. Central CNN international Europe: Saturday, 5/19: 1130 CET Sunday, 5/20: 1930 CET Asia: Saturday, 5/19: 1030 HK Sunday, 5/20: 1630 HK Latin America: Saturday, 5/19: 930 BA Sunday, 5/20: 1030 BA	0
I am looking right now at a number of options.	0
Hopefully, I shall make a decision within a few weeks.	0
I'd be interested in your evaluation of Lakima Group, whom I believe you've worked with.	0
I hope you are doing OK under the circumstances.	0
I wanted also to let you know that I'm transitioning to an advisory role at Opt4 since they are now in a more operational mode, rather than developmental.	0
I've joined Charles River Associates in the Palo Alto office.	0
I would like to extend an invitation to get to know us better, and perhaps to collaborate if our interests coincide.	0
Any review, use, distribution or disclosure by others is strictly prohibited.	0
If you are not the intended recipient or authorized to receive for the recipient , please contact the sender or reply to Enron Corp. at enron.messaging.administration@enron.com and delete all copies of the message.	0
This e-mail and any attachments hereto are not intended to be an offer or an acceptance and do not create or evidence a binding and enforceable contract between Enron Corp. or any of its affiliates and the intended recipient or any other party, and may not be relied on by anyone as the basis of a contract by estoppel or otherwise.	0
Thank you.	0
Valeria is looking into it.	0
The following developments indicate that the legislation is still very much in play, but our primary concerns are making sure efforts going forward remain under control and preventing the passage of legislation that goes too far.	0
Developments: House Republican leadership is not interested in pursuing the legislation any further, either through regular procedures or as an attachment to appropriations, omnibus or other must-pass measures.	0
They are somewhat angry at the industry for not being able to fight off advances made by Reps. Dingell and Oberstar, who were able to persuade enough Democrats to vote against the Senate bill so that it fell short of the 2/3 needed for passage under suspension of the rules.	0
Senate bill sponsors/supporters are extremely angry at House Democrats for killing the Senate legislation, and at the White House/DOT for not strongly promoting the Senate bill which they previously had supported and reigning in House Democrats.	0
Senator Patty Murray called the White House and expressed her concern, which prompted a series of meetings between staff for Senate and House Democrats and the White House to discuss a solution.	0
In these meetings, House Democrats have proposed adding several provisions from the Dingell/Oberstar legislation to the Senate bill and moving that package on an omnibus or appropriations bill.	0
Sources close to Rep. Dingell indicate that they really do not want any bill at all, and are merely keeping up the pressure in an effort to see if they can get the Senate or industry to accept tougher provisions.	0
Senate Democrats including Murray, Bingaman, and Breaux are not accepting any possible amendments to the original Senate bill, and are opposed to changing the Senate bill at all.	0
However, Senator Murray and Republican Senator Slade Gorton who has a tough election both want to continue to pursue the Senate bill unamended as a rider to an omnibus/appropriations bill.	0
The White House is looking to cover itself from a poor performance in the House, and is considering drafting an executive order that could be issued if no legislation passes at all.	0
It is unclear what could or would be contained in such an order, but the White House is indicating to Senate staff that it would be more like the Senate bill than the House bill.	0
We are working with sources close to the White House to confirm their strategy.	0
Strategy going forward: Upon hearing that some industry associations were on Capitol Hill discussing what industry could live with in terms of provisions added to the Senate bill, I insisted along with El Paso and others that we not take such an approach, but rather remain consistent in our approach -- we support the Senate bill and only the Senate bill.	0
It was approved unanimously in the Senate and by 60% of the House, and if anything moves forward on an omnibus/appropriations bill, it should be the Senate bill.	0
Consistent with what our Senate friends are doing, we should not even recognize the Dingell/Oberstar legislation as a serious proposal, nor start accepting pieces of it as a compromise.	0
We will be shoring up support for our position of if anything moves forward, it should be the Senate bill only with Senate supporters and leadership in the House and Senate.	0
We will also be working to thank the 51 Democrats who supported us in the House, and make sure they have any cover they need in case their vote becomes an issue.	0
In support of Senator Gorton's election troubles, we will be working to try to get media placement of op-eds that support the efforts he has waged and make sure the House Democrats shoulder the blame for the bill's defeat.	0
In particular, we are hopeful that Senator McCain who has been passionate about this issue will write op-eds that can be placed to support Gorton and others in tough races who supported the Senate bill.	0
Congress' state of confusion over omnibus/appropriations bills and last minute politics causes the legislative activity to be extremely fluid and subject to change rapidly, so we will have no real certainty until the session is over which now could be as late as October 20 .	0
I will keep you posted as changes and developments occur.	0
Jeff	0
Look forward to seeing you.	0
Sorry I left Jimmy off the note, I know he must be doing a good job.	0
I'm certain that the NYT story is infinitely better because of Wade's involvement.	0
It was a team effort, but you should know that Jimmy Mogal also was very involved.	0
Of course, Wade wants to avoid damaging the company and your note helps to keep him up for these risky/must do requests.	0
Along these line, I'd like to be able to give you a brief update on activities and issues.	0
I'll check with Maureen about scheduling 15-20 minutes.	0
Nice job.	0
It's nicely positioned as an issue about India's resolve to encourage foreign investment and live up to contracts.	0
I can't tell you how many politicians I met over the past year who really don't like markets and certainly don't understand how or why they work.	0
These aren't just the minor leaguers in Sacramento, but the big league players in Washington.	0
I also agree that the academic community can play an important role in shaping public opinion and in explaining the logic of deregulation process.	0
I'd like to think that is in large part what I have been trying to do.	0
Frank	0
It is composed of professionals from an array of public, private and non-profit backgrounds.	0
I have worked in some capacity with each of these people and most I know quite well.	0
Please call me for further background.	1
Kevin 213-926-2626 Attachment - Kevin Scott - Preferred Contacts - 6-20-01.doc	0
It looks like the regulations are 90 % ok - and better than the old ones.	0
- your team got the right pressure points and applied them well.	0
Thanks Pete	0
John Shelk will provide a more thorough report in a later Email, but I just wanted you to know that the Waxman price cap amendment was just defeated in full Committee markup and the Eshoo refund amendment was defeated.	0
Both by sizable margins.	0
He is the best expert on California right now.	0
kind regards.	0
I have too many commitments right now.	0
We are aiming to have the programme printed next week, so I would really need to know as soon as possible if you would be available to speak at this year's congress.	1
